r,l,t,m,y,RateOfActivity
KENYA,TS04,BESS_TECH,1,2039,1.1806
KENYA,TS05,BESS_TECH,1,2039,1.1806
KENYA,TS10,BESS_TECH,1,2039,1.1806
KENYA,TS15,BESS_TECH,1,2039,0.0035
KENYA,TS17,BESS_TECH,1,2039,1.1806
KENYA,TS18,BESS_TECH,1,2039,0.7915
KENYA,TS19,BESS_TECH,1,2039,0.3916
KENYA,TS21,BESS_TECH,1,2039,1.1806
KENYA,TS23,BESS_TECH,1,2039,1.1806
KENYA,TS26,BESS_TECH,1,2039,1.1806
KENYA,TS29,BESS_TECH,1,2039,1.1806
KENYA,TS30,BESS_TECH,1,2039,1.1806
KENYA,TS31,BESS_TECH,1,2039,1.1806
KENYA,TS32,BESS_TECH,1,2039,1.1806
KENYA,TS36,BESS_TECH,1,2039,1.1806
KENYA,TS41,BESS_TECH,1,2039,1.1806
KENYA,TS43,BESS_TECH,1,2039,0.1237
KENYA,TS48,BESS_TECH,1,2039,1.1806
KENYA,TS02,BESS_TECH,2,2039,0.6172
KENYA,TS03,BESS_TECH,2,2039,0.8893
KENYA,TS08,BESS_TECH,2,2039,0.7986
KENYA,TS11,BESS_TECH,2,2039,1.1806
KENYA,TS16,BESS_TECH,2,2039,1.1806
KENYA,TS20,BESS_TECH,2,2039,1.1806
KENYA,TS22,BESS_TECH,2,2039,1.1692
KENYA,TS24,BESS_TECH,2,2039,1.1806
KENYA,TS27,BESS_TECH,2,2039,0.7813
KENYA,TS28,BESS_TECH,2,2039,1.1806
KENYA,TS33,BESS_TECH,2,2039,1.1806
KENYA,TS34,BESS_TECH,2,2039,1.1549
KENYA,TS35,BESS_TECH,2,2039,1.1806
KENYA,TS40,BESS_TECH,2,2039,0.5903
KENYA,TS46,BESS_TECH,2,2039,1.0555
KENYA,TS04,BESS_TECH,1,2040,1.8923
KENYA,TS05,BESS_TECH,1,2040,1.8923
KENYA,TS07,BESS_TECH,1,2040,1.2523
KENYA,TS10,BESS_TECH,1,2040,1.8923
