r,l,f,y,Demand
KENYA,TS06,INDELC,2040,1.0608
KENYA,TS06,INDELC,2041,1.1217
KENYA,TS06,INDELC,2042,1.1849
KENYA,TS06,INDELC,2043,1.2522
KENYA,TS06,INDELC,2044,1.3234
KENYA,TS06,INDELC,2045,1.3987
KENYA,TS06,INDELC,2046,1.4782
KENYA,TS06,INDELC,2047,1.5623
KENYA,TS06,INDELC,2048,1.6511
KENYA,TS06,INDELC,2049,1.745
KENYA,TS06,INDELC,2050,1.8442
KENYA,TS06,RESELC,2019,0.2455
KENYA,TS06,RESELC,2020,0.2498
KENYA,TS06,RESELC,2021,0.2611
KENYA,TS06,RESELC,2022,0.2698
KENYA,TS06,RESELC,2023,0.2781
KENYA,TS06,RESELC,2024,0.2876
KENYA,TS06,RESELC,2025,0.298
KENYA,TS06,RESELC,2026,0.3089
KENYA,TS06,RESELC,2027,0.3267
KENYA,TS06,RESELC,2028,0.3457
KENYA,TS06,RESELC,2029,0.3673
KENYA,TS06,RESELC,2030,0.3904
KENYA,TS06,RESELC,2031,0.4122
KENYA,TS06,RESELC,2032,0.4364
KENYA,TS06,RESELC,2033,0.4609
KENYA,TS06,RESELC,2034,0.487
KENYA,TS06,RESELC,2035,0.5145
KENYA,TS06,RESELC,2036,0.5425
KENYA,TS06,RESELC,2037,0.574
KENYA,TS06,RESELC,2038,0.6068
KENYA,TS06,RESELC,2039,0.6416
KENYA,TS06,RESELC,2040,0.6785
KENYA,TS06,RESELC,2041,0.7174
KENYA,TS06,RESELC,2042,0.7578
KENYA,TS06,RESELC,2043,0.8009
KENYA,TS06,RESELC,2044,0.8464
KENYA,TS06,RESELC,2045,0.8945
KENYA,TS06,RESELC,2046,0.9454
KENYA,TS06,RESELC,2047,0.9992
KENYA,TS06,RESELC,2048,1.056
KENYA,TS06,RESELC,2049,1.116
KENYA,TS06,RESELC,2050,1.1795
KENYA,TS07,COMELC,2019,0.0989
KENYA,TS07,COMELC,2020,0.1006
KENYA,TS07,COMELC,2021,0.1052
KENYA,TS07,COMELC,2022,0.1087
KENYA,TS07,COMELC,2023,0.112
KENYA,TS07,COMELC,2024,0.1159
KENYA,TS07,COMELC,2025,0.1201
KENYA,TS07,COMELC,2026,0.1245
KENYA,TS07,COMELC,2027,0.1316
KENYA,TS07,COMELC,2028,0.1393
KENYA,TS07,COMELC,2029,0.148
KENYA,TS07,COMELC,2030,0.1573
KENYA,TS07,COMELC,2031,0.1661
KENYA,TS07,COMELC,2032,0.1758
KENYA,TS07,COMELC,2033,0.1857
KENYA,TS07,COMELC,2034,0.1962
KENYA,TS07,COMELC,2035,0.2073
KENYA,TS07,COMELC,2036,0.2186
KENYA,TS07,COMELC,2037,0.2312
KENYA,TS07,COMELC,2038,0.2444
KENYA,TS07,COMELC,2039,0.2585
KENYA,TS07,COMELC,2040,0.2733
KENYA,TS07,COMELC,2041,0.289
KENYA,TS07,COMELC,2042,0.3053
KENYA,TS07,COMELC,2043,0.3227
KENYA,TS07,COMELC,2044,0.341
KENYA,TS07,COMELC,2045,0.3604
KENYA,TS07,COMELC,2046,0.3809
KENYA,TS07,COMELC,2047,0.4025
KENYA,TS07,COMELC,2048,0.4254
KENYA,TS07,COMELC,2049,0.4496
KENYA,TS07,COMELC,2050,0.4752
KENYA,TS07,INDELC,2019,0.3407
KENYA,TS07,INDELC,2020,0.3467
KENYA,TS07,INDELC,2021,0.3624
KENYA,TS07,INDELC,2022,0.3745
KENYA,TS07,INDELC,2023,0.3859
KENYA,TS07,INDELC,2024,0.3992
KENYA,TS07,INDELC,2025,0.4136
KENYA,TS07,INDELC,2026,0.4287
KENYA,TS07,INDELC,2027,0.4535
KENYA,TS07,INDELC,2028,0.4797
KENYA,TS07,INDELC,2029,0.5097
KENYA,TS07,INDELC,2030,0.5419
KENYA,TS07,INDELC,2031,0.5721
KENYA,TS07,INDELC,2032,0.6056
KENYA,TS07,INDELC,2033,0.6396
KENYA,TS07,INDELC,2034,0.6759
KENYA,TS07,INDELC,2035,0.7141
KENYA,TS07,INDELC,2036,0.753
KENYA,TS07,INDELC,2037,0.7966
KENYA,TS07,INDELC,2038,0.8421
KENYA,TS07,INDELC,2039,0.8904
KENYA,TS07,INDELC,2040,0.9416
KENYA,TS07,INDELC,2041,0.9956
KENYA,TS07,INDELC,2042,1.0517
KENYA,TS07,INDELC,2043,1.1115
KENYA,TS07,INDELC,2044,1.1747
KENYA,TS07,INDELC,2045,1.2415
