r,t,l,y,RateOfTotalActivity
KENYA,BESS_TECH,TS22,2050,12.1771
KENYA,BESS_TECH,TS23,2024,0.2048
KENYA,BESS_TECH,TS23,2025,1.1039
KENYA,BESS_TECH,TS23,2026,2.7221
KENYA,BESS_TECH,TS23,2027,2.1536
KENYA,BESS_TECH,TS23,2028,2.4136
KENYA,BESS_TECH,TS23,2029,2.7221
KENYA,BESS_TECH,TS23,2030,2.7221
KENYA,BESS_TECH,TS23,2031,2.7221
KENYA,BESS_TECH,TS23,2032,2.6482
KENYA,BESS_TECH,TS23,2033,0.4034
KENYA,BESS_TECH,TS23,2034,2.5174
KENYA,BESS_TECH,TS23,2037,1.1806
KENYA,BESS_TECH,TS23,2038,1.1806
KENYA,BESS_TECH,TS23,2039,1.1806
KENYA,BESS_TECH,TS23,2040,1.81
KENYA,BESS_TECH,TS23,2041,1.9549
KENYA,BESS_TECH,TS23,2042,0.9123
KENYA,BESS_TECH,TS23,2043,2.0437
KENYA,BESS_TECH,TS23,2044,2.0437
KENYA,BESS_TECH,TS23,2045,5.0416
KENYA,BESS_TECH,TS23,2046,4.3888
KENYA,BESS_TECH,TS23,2047,2.4584
KENYA,BESS_TECH,TS23,2048,1.1586
KENYA,BESS_TECH,TS23,2049,4.094
KENYA,BESS_TECH,TS23,2050,12.1771
KENYA,BESS_TECH,TS24,2024,0.2048
KENYA,BESS_TECH,TS24,2025,2.7221
KENYA,BESS_TECH,TS24,2026,2.7221
KENYA,BESS_TECH,TS24,2027,2.7221
KENYA,BESS_TECH,TS24,2028,2.7221
KENYA,BESS_TECH,TS24,2029,2.7221
KENYA,BESS_TECH,TS24,2030,2.7221
KENYA,BESS_TECH,TS24,2031,2.7221
KENYA,BESS_TECH,TS24,2032,2.7221
KENYA,BESS_TECH,TS24,2033,2.7221
KENYA,BESS_TECH,TS24,2034,2.5174
KENYA,BESS_TECH,TS24,2037,1.1806
KENYA,BESS_TECH,TS24,2038,1.1806
KENYA,BESS_TECH,TS24,2039,1.1806
KENYA,BESS_TECH,TS24,2040,1.8923
KENYA,BESS_TECH,TS24,2041,2.0437
KENYA,BESS_TECH,TS24,2042,2.0437
KENYA,BESS_TECH,TS24,2043,2.0437
KENYA,BESS_TECH,TS24,2044,2.0437
KENYA,BESS_TECH,TS24,2045,6.7335
KENYA,BESS_TECH,TS24,2046,7.7099
KENYA,BESS_TECH,TS24,2047,9.4235
KENYA,BESS_TECH,TS24,2048,9.4235
KENYA,BESS_TECH,TS24,2049,9.4235
KENYA,BESS_TECH,TS24,2050,7.9785
KENYA,BESS_TECH,TS25,2026,0.8693
