r,t,y,TotalCapacityAnnual
KENYA,PWRGEO002,2023,0.14
KENYA,PWRGEO002,2024,0.14
KENYA,PWRGEO002,2025,0.14
KENYA,PWRGEO002,2026,0.14
KENYA,PWRGEO002,2027,0.14
KENYA,PWRGEO002,2028,0.14
KENYA,PWRGEO002,2029,0.14
KENYA,PWRGEO002,2030,0.14
KENYA,PWRGEO002,2031,0.14
KENYA,PWRGEO002,2032,0.14
KENYA,PWRGEO002,2033,0.14
KENYA,PWRGEO002,2034,0.14
KENYA,PWRGEO002,2035,0.14
KENYA,PWRGEO002,2036,0.14
KENYA,PWRGEO002,2037,0.14
KENYA,PWRGEO002,2038,0.14
KENYA,PWRGEO002,2039,0.14
KENYA,PWRGEO002,2040,0.14
KENYA,PWRGEO003,2019,0.101
KENYA,PWRGEO003,2020,0.101
KENYA,PWRGEO003,2021,0.101
KENYA,PWRGEO003,2022,0.101
KENYA,PWRGEO003,2023,0.101
KENYA,PWRGEO003,2024,0.101
KENYA,PWRGEO003,2025,0.101
KENYA,PWRGEO003,2026,0.101
KENYA,PWRGEO003,2027,0.101
KENYA,PWRGEO003,2028,0.101
KENYA,PWRGEO004,2019,0.0638
KENYA,PWRGEO004,2020,0.0638
KENYA,PWRGEO004,2021,0.0638
KENYA,PWRGEO004,2022,0.0638
KENYA,PWRGEO004,2023,0.0638
KENYA,PWRGEO004,2024,0.0638
KENYA,PWRGEO004,2025,0.0638
KENYA,PWRGEO004,2026,0.0638
KENYA,PWRGEO004,2027,0.0638
KENYA,PWRGEO004,2028,0.0638
KENYA,PWRGEO004,2029,0.0638
KENYA,PWRGEO004,2030,0.0638
KENYA,PWRGEO004,2031,0.0638
KENYA,PWRGEO004,2032,0.0638
KENYA,PWRGEO004,2033,0.0638
KENYA,PWRGEO004,2034,0.0638
KENYA,PWRGEO004,2035,0.0638
