r,l,t,m,y,RateOfActivity
KENYA,TS05,BESS_TECH,1,2038,4.5206
KENYA,TS07,BESS_TECH,1,2038,2.5605
KENYA,TS09,BESS_TECH,1,2038,1.2564
KENYA,TS17,BESS_TECH,1,2038,4.5206
KENYA,TS18,BESS_TECH,1,2038,1.6952
KENYA,TS22,BESS_TECH,1,2038,4.5206
KENYA,TS23,BESS_TECH,1,2038,4.5206
KENYA,TS29,BESS_TECH,1,2038,4.5206
KENYA,TS30,BESS_TECH,1,2038,2.5988
KENYA,TS32,BESS_TECH,1,2038,4.5206
KENYA,TS35,BESS_TECH,1,2038,1.1788
KENYA,TS36,BESS_TECH,1,2038,4.5206
KENYA,TS37,BESS_TECH,1,2038,1.529
KENYA,TS41,BESS_TECH,1,2038,4.5206
KENYA,TS43,BESS_TECH,1,2038,1.876
KENYA,TS47,BESS_TECH,1,2038,3.4948
KENYA,TS02,BESS_TECH,2,2038,0.0777
KENYA,TS03,BESS_TECH,2,2038,4.5206
KENYA,TS10,BESS_TECH,2,2038,4.5206
KENYA,TS11,BESS_TECH,2,2038,2.2435
KENYA,TS16,BESS_TECH,2,2038,3.5133
KENYA,TS20,BESS_TECH,2,2038,4.5206
KENYA,TS21,BESS_TECH,2,2038,0.0665
KENYA,TS24,BESS_TECH,2,2038,4.5206
KENYA,TS25,BESS_TECH,2,2038,1.7227
KENYA,TS28,BESS_TECH,2,2038,1.6345
KENYA,TS33,BESS_TECH,2,2038,1.8613
KENYA,TS34,BESS_TECH,2,2038,4.5206
KENYA,TS40,BESS_TECH,2,2038,4.5206
KENYA,TS46,BESS_TECH,2,2038,4.5206
KENYA,TS01,BESS_TECH,1,2039,0.6694
KENYA,TS12,BESS_TECH,1,2039,3.0692
KENYA,TS13,BESS_TECH,1,2039,1.4113
KENYA,TS19,BESS_TECH,1,2039,3.1715
KENYA,TS21,BESS_TECH,1,2039,3.1715
KENYA,TS26,BESS_TECH,1,2039,3.1715
KENYA,TS28,BESS_TECH,1,2039,1.5481
KENYA,TS29,BESS_TECH,1,2039,3.1715
KENYA,TS30,BESS_TECH,1,2039,3.1715
KENYA,TS31,BESS_TECH,1,2039,3.1715
KENYA,TS36,BESS_TECH,1,2039,3.1715
KENYA,TS37,BESS_TECH,1,2039,0.0393
KENYA,TS41,BESS_TECH,1,2039,3.1715
KENYA,TS44,BESS_TECH,1,2039,2.1454
KENYA,TS47,BESS_TECH,1,2039,3.1715
KENYA,TS04,BESS_TECH,2,2039,0.8656
KENYA,TS05,BESS_TECH,2,2039,0.2478
KENYA,TS10,BESS_TECH,2,2039,0.6828
KENYA,TS11,BESS_TECH,2,2039,3.1715
KENYA,TS16,BESS_TECH,2,2039,0.5005
KENYA,TS17,BESS_TECH,2,2039,3.1715
KENYA,TS20,BESS_TECH,2,2039,3.1715
KENYA,TS22,BESS_TECH,2,2039,3.1025
KENYA,TS23,BESS_TECH,2,2039,3.1715
KENYA,TS24,BESS_TECH,2,2039,3.1715
KENYA,TS25,BESS_TECH,2,2039,2.12
KENYA,TS27,BESS_TECH,2,2039,3.1715
KENYA,TS32,BESS_TECH,2,2039,3.1715
KENYA,TS33,BESS_TECH,2,2039,0.9088
KENYA,TS34,BESS_TECH,2,2039,3.1715
KENYA,TS35,BESS_TECH,2,2039,0.3468
KENYA,TS40,BESS_TECH,2,2039,1.6438
KENYA,TS46,BESS_TECH,2,2039,3.1715
KENYA,TS02,BESS_TECH,1,2041,1.1104
KENYA,TS03,BESS_TECH,1,2041,1.4875
KENYA,TS06,BESS_TECH,1,2041,3.9687
KENYA,TS10,BESS_TECH,1,2041,3.9687
KENYA,TS14,BESS_TECH,1,2041,0.5693
KENYA,TS18,BESS_TECH,1,2041,2.4038
KENYA,TS19,BESS_TECH,1,2041,3.9687
KENYA,TS21,BESS_TECH,1,2041,3.9687
KENYA,TS26,BESS_TECH,1,2041,3.9687
KENYA,TS28,BESS_TECH,1,2041,2.2552
KENYA,TS29,BESS_TECH,1,2041,3.9687
KENYA,TS30,BESS_TECH,1,2041,3.9687
KENYA,TS31,BESS_TECH,1,2041,3.3997
KENYA,TS36,BESS_TECH,1,2041,3.9687
KENYA,TS41,BESS_TECH,1,2041,3.9687
KENYA,TS47,BESS_TECH,1,2041,3.9687
KENYA,TS04,BESS_TECH,2,2041,3.9687
KENYA,TS05,BESS_TECH,2,2041,3.9687
KENYA,TS07,BESS_TECH,2,2041,1.3424
KENYA,TS11,BESS_TECH,2,2041,3.9687
KENYA,TS16,BESS_TECH,2,2041,0.2132
KENYA,TS17,BESS_TECH,2,2041,3.9687
KENYA,TS20,BESS_TECH,2,2041,3.9687
KENYA,TS22,BESS_TECH,2,2041,3.8824
KENYA,TS23,BESS_TECH,2,2041,3.9687
KENYA,TS24,BESS_TECH,2,2041,3.9687
KENYA,TS25,BESS_TECH,2,2041,3.9687
KENYA,TS27,BESS_TECH,2,2041,2.8679
KENYA,TS32,BESS_TECH,2,2041,3.9687
KENYA,TS33,BESS_TECH,2,2041,0.1553
KENYA,TS34,BESS_TECH,2,2041,2.8118
KENYA,TS35,BESS_TECH,2,2041,3.9687
KENYA,TS40,BESS_TECH,2,2041,1.8983
