r,l,f,y,Demand
KENYA,TS05,RESELC,2019,0.2234
KENYA,TS05,RESELC,2020,0.2273
KENYA,TS05,RESELC,2021,0.2376
KENYA,TS05,RESELC,2022,0.2456
KENYA,TS05,RESELC,2023,0.2531
KENYA,TS05,RESELC,2024,0.2618
KENYA,TS05,RESELC,2025,0.2712
KENYA,TS05,RESELC,2026,0.2959
KENYA,TS05,RESELC,2027,0.3228
KENYA,TS05,RESELC,2028,0.3522
KENYA,TS05,RESELC,2029,0.3842
KENYA,TS05,RESELC,2030,0.4192
KENYA,TS05,RESELC,2031,0.4573
KENYA,TS05,RESELC,2032,0.499
KENYA,TS05,RESELC,2033,0.5444
KENYA,TS05,RESELC,2034,0.5939
KENYA,TS05,RESELC,2035,0.6479
KENYA,TS05,RESELC,2036,0.7069
KENYA,TS05,RESELC,2037,0.7712
KENYA,TS05,RESELC,2038,0.8414
KENYA,TS05,RESELC,2039,0.9179
KENYA,TS05,RESELC,2040,1.0015
KENYA,TS05,RESELC,2041,1.0926
KENYA,TS05,RESELC,2042,1.1834
KENYA,TS05,RESELC,2043,1.2799
KENYA,TS05,RESELC,2044,1.3843
KENYA,TS05,RESELC,2045,1.4971
KENYA,TS05,RESELC,2046,1.6192
KENYA,TS05,RESELC,2047,1.7512
KENYA,TS05,RESELC,2048,1.894
KENYA,TS05,RESELC,2049,2.0485
KENYA,TS05,RESELC,2050,2.2155
KENYA,TS06,COMELC,2019,0.1114
KENYA,TS06,COMELC,2020,0.1134
KENYA,TS06,COMELC,2021,0.1185
KENYA,TS06,COMELC,2022,0.1225
KENYA,TS06,COMELC,2023,0.1262
KENYA,TS06,COMELC,2024,0.1305
KENYA,TS06,COMELC,2025,0.1352
KENYA,TS06,COMELC,2026,0.1476
KENYA,TS06,COMELC,2027,0.161
KENYA,TS06,COMELC,2028,0.1756
KENYA,TS06,COMELC,2029,0.1916
KENYA,TS06,COMELC,2030,0.209
KENYA,TS06,COMELC,2031,0.2281
KENYA,TS06,COMELC,2032,0.2488
KENYA,TS06,COMELC,2033,0.2715
KENYA,TS06,COMELC,2034,0.2962
KENYA,TS06,COMELC,2035,0.3231
