r,s,ls,ld,lh,y,RateOfNetStorageActivity
KENYA,BESS001,2,2,6,2032,-2.7221
KENYA,BESS001,2,2,6,2033,-2.7221
KENYA,BESS001,2,2,6,2034,-2.5174
KENYA,BESS001,2,2,6,2035,-0.0001
KENYA,BESS001,2,2,6,2036,-0.0002
KENYA,BESS001,2,2,6,2037,-0.0001
KENYA,BESS001,2,2,6,2038,-0.0
KENYA,BESS001,2,2,6,2040,-0.0001
KENYA,BESS001,2,2,6,2041,-0.0
KENYA,BESS001,2,2,6,2042,-0.0003
KENYA,BESS001,2,2,6,2044,-1.3026
KENYA,BESS001,2,2,6,2045,-2.808
KENYA,BESS001,2,2,6,2046,-4.8234
KENYA,BESS001,2,2,6,2047,-7.2967
KENYA,BESS001,2,2,6,2048,-9.4502
KENYA,BESS001,2,2,6,2049,-11.6138
KENYA,BESS001,2,2,6,2050,-15.6268
KENYA,BESS001,3,1,1,2024,-0.1355
KENYA,BESS001,3,1,1,2026,-0.8707
KENYA,BESS001,3,1,1,2027,-0.0995
KENYA,BESS001,3,1,1,2030,-0.312
KENYA,BESS001,3,1,1,2031,-1.6089
KENYA,BESS001,3,1,1,2032,-1.5501
KENYA,BESS001,3,1,1,2033,-1.6326
KENYA,BESS001,3,1,1,2034,-2.5174
KENYA,BESS001,3,1,1,2037,0.0
KENYA,BESS001,3,1,1,2038,-0.0
KENYA,BESS001,3,1,1,2041,-0.0
KENYA,BESS001,3,1,1,2042,-0.0001
KENYA,BESS001,3,1,1,2044,-0.1408
KENYA,BESS001,3,1,1,2045,-1.1697
KENYA,BESS001,3,1,1,2046,-2.1376
KENYA,BESS001,3,1,1,2047,-7.2967
KENYA,BESS001,3,1,1,2048,-6.7061
KENYA,BESS001,3,1,1,2049,-9.2429
KENYA,BESS001,3,1,1,2050,-10.5063
KENYA,BESS001,3,1,2,2024,0.2047
KENYA,BESS001,3,1,2,2025,0.3813
KENYA,BESS001,3,1,2,2026,2.7221
KENYA,BESS001,3,1,2,2027,2.7221
KENYA,BESS001,3,1,2,2028,2.7221
KENYA,BESS001,3,1,2,2029,-0.6552
KENYA,BESS001,3,1,2,2030,2.7221
KENYA,BESS001,3,1,2,2031,-1.0504
KENYA,BESS001,3,1,2,2032,-1.0434
KENYA,BESS001,3,1,2,2033,-1.0159
KENYA,BESS001,3,1,2,2034,2.5174
KENYA,BESS001,3,1,2,2035,0.0
KENYA,BESS001,3,1,2,2036,0.0
KENYA,BESS001,3,1,2,2037,-0.0001
KENYA,BESS001,3,1,2,2038,0.0001
KENYA,BESS001,3,1,2,2040,-0.0
KENYA,BESS001,3,1,2,2041,0.0
KENYA,BESS001,3,1,2,2042,0.0
KENYA,BESS001,3,1,2,2044,1.3421
KENYA,BESS001,3,1,2,2045,2.808
KENYA,BESS001,3,1,2,2046,4.8234
KENYA,BESS001,3,1,2,2047,7.2967
KENYA,BESS001,3,1,2,2048,9.4502
KENYA,BESS001,3,1,2,2049,11.6138
KENYA,BESS001,3,1,2,2050,15.6268
KENYA,BESS001,3,1,3,2025,-1.5133
KENYA,BESS001,3,1,3,2026,-2.7221
KENYA,BESS001,3,1,3,2027,-2.7221
KENYA,BESS001,3,1,3,2028,-2.5681
KENYA,BESS001,3,1,3,2029,-1.494
KENYA,BESS001,3,1,3,2030,-2.5733
KENYA,BESS001,3,1,3,2031,-0.5228
KENYA,BESS001,3,1,3,2032,-0.4636
KENYA,BESS001,3,1,3,2033,-0.2796
KENYA,BESS001,3,1,3,2034,-1.4367
KENYA,BESS001,3,1,3,2035,-0.0001
KENYA,BESS001,3,1,3,2036,-0.0
KENYA,BESS001,3,1,3,2037,-0.0
KENYA,BESS001,3,1,3,2038,-0.0001
KENYA,BESS001,3,1,3,2041,-0.0
KENYA,BESS001,3,1,3,2042,-0.0
KENYA,BESS001,3,1,3,2044,-1.3421
KENYA,BESS001,3,1,3,2045,-2.808
KENYA,BESS001,3,1,3,2046,-4.8234
KENYA,BESS001,3,1,3,2047,-4.0352
KENYA,BESS001,3,1,3,2048,-9.4502
KENYA,BESS001,3,1,3,2049,-11.6138
KENYA,BESS001,3,1,3,2050,-15.6268
KENYA,BESS001,3,1,4,2024,-0.2047
KENYA,BESS001,3,1,4,2025,-1.4179
