r,t,y,AnnualVariableOperatingCost
KENYA,PWRGEO005,2023,0.2361
KENYA,PWRGEO005,2024,0.2361
KENYA,PWRGEO005,2025,0.2361
KENYA,PWRGEO005,2026,0.2361
KENYA,PWRGEO005,2027,0.2361
KENYA,PWRGEO005,2028,0.2361
KENYA,PWRGEO005,2029,0.2361
KENYA,PWRGEO005,2030,0.2361
KENYA,PWRGEO005,2031,0.2361
KENYA,PWRGEO005,2032,0.2361
KENYA,PWRGEO005,2033,0.2361
KENYA,PWRGEO005,2034,0.2361
KENYA,PWRGEO005,2035,0.2361
KENYA,PWRGEO005,2036,0.2361
KENYA,PWRGEO005,2037,0.2361
KENYA,PWRGEO006,2019,0.8347
KENYA,PWRGEO006,2020,0.8347
KENYA,PWRGEO006,2021,0.8347
KENYA,PWRGEO006,2022,0.8347
KENYA,PWRGEO006,2023,0.8347
KENYA,PWRGEO006,2024,0.8347
KENYA,PWRGEO006,2025,0.8347
KENYA,PWRGEO006,2026,0.8347
KENYA,PWRGEO006,2027,0.8347
KENYA,PWRGEO006,2028,0.8347
KENYA,PWRGEO006,2029,0.8347
KENYA,PWRGEO006,2030,0.8347
KENYA,PWRGEO006,2031,0.8347
KENYA,PWRGEO006,2032,0.8347
KENYA,PWRGEO006,2033,0.8347
KENYA,PWRGEO006,2034,0.8347
KENYA,PWRGEO006,2035,0.8347
KENYA,PWRGEO006,2036,0.8347
KENYA,PWRGEO006,2037,0.8347
KENYA,PWRGEO006,2038,0.8347
KENYA,PWRGEO006,2039,0.8347
KENYA,PWRGEO007,2019,0.2659
KENYA,PWRGEO007,2020,0.2659
KENYA,PWRGEO007,2021,0.2659
KENYA,PWRGEO007,2022,0.2659
KENYA,PWRGEO007,2023,0.2659
KENYA,PWRGEO007,2024,0.2659
KENYA,PWRGEO007,2025,0.2659
KENYA,PWRGEO007,2026,0.2659
KENYA,PWRGEO008,2019,0.1729
KENYA,PWRGEO008,2020,0.1729
KENYA,PWRGEO008,2021,0.1729
KENYA,PWRGEO008,2022,0.1729
KENYA,PWRGEO008,2023,0.1729
KENYA,PWRGEO008,2024,0.1729
KENYA,PWRGEO008,2025,0.1729
KENYA,PWRGEO008,2026,0.1729
KENYA,PWRGEO008,2027,0.1729
KENYA,PWRGEO008,2028,0.1729
KENYA,PWRGEO008,2029,0.1729
KENYA,PWRGEO008,2030,0.1729
KENYA,PWRGEO008,2031,0.1729
KENYA,PWRGEO008,2032,0.1729
KENYA,PWRGEO008,2033,0.1729
KENYA,PWRGEO008,2034,0.1729
KENYA,PWRGEO008,2035,0.1729
KENYA,PWRGEO008,2036,0.1729
KENYA,PWRGEO008,2037,0.1729
KENYA,PWRGEO008,2038,0.1729
KENYA,PWRGEO008,2039,0.1729
KENYA,PWRGEO008,2040,0.1729
KENYA,PWRGEO009,2019,0.164
KENYA,PWRGEO009,2020,0.164
KENYA,PWRGEO009,2021,0.164
KENYA,PWRGEO009,2022,0.164
KENYA,PWRGEO009,2023,0.164
KENYA,PWRGEO009,2024,0.164
KENYA,PWRGEO009,2025,0.164
KENYA,PWRGEO009,2026,0.164
KENYA,PWRGEO009,2027,0.164
KENYA,PWRGEO009,2028,0.164
KENYA,PWRGEO009,2029,0.164
KENYA,PWRGEO009,2030,0.164
KENYA,PWRGEO010,2023,0.2087
KENYA,PWRGEO010,2024,0.2087
KENYA,PWRGEO010,2025,0.2087
KENYA,PWRGEO010,2026,0.2087
KENYA,PWRGEO010,2027,0.2087
KENYA,PWRGEO010,2028,0.2087
KENYA,PWRGEO010,2029,0.2087
KENYA,PWRGEO010,2030,0.2087
KENYA,PWRGEO010,2031,0.2087
KENYA,PWRGEO010,2032,0.2087
KENYA,PWRGEO010,2033,0.2087
KENYA,PWRGEO010,2034,0.2087
KENYA,PWRGEO010,2035,0.2087
KENYA,PWRGEO010,2036,0.2087
KENYA,PWRGEO010,2037,0.2087
KENYA,PWRGEO010,2038,0.2087
KENYA,PWRGEO010,2039,0.2087
KENYA,PWRGEO010,2040,0.2087
KENYA,PWRGEO010,2041,0.2087
KENYA,PWRGEO010,2042,0.2087
KENYA,PWRGEO010,2043,0.2087
KENYA,PWRGEO010,2044,0.2087
KENYA,PWRGEO010,2045,0.2087
KENYA,PWRGEO010,2046,0.2087
KENYA,PWRGEO010,2047,0.2087
KENYA,PWRGEO011,2022,0.4967
