r,t,m,y,TotalAnnualTechnologyActivityByMode
KENYA,MINBIO,1,2021,0.0902
KENYA,MINBIO,1,2022,0.0902
KENYA,MINBIO,1,2023,0.1533
KENYA,MINBIO,1,2024,0.1533
KENYA,MINBIO,1,2025,0.1533
KENYA,MINBIO,1,2026,0.6042
KENYA,MINBIO,1,2027,0.6042
KENYA,MINBIO,1,2028,0.9649
KENYA,MINBIO,1,2029,0.9649
KENYA,MINBIO,1,2030,3.1381
KENYA,MINBIO,1,2031,4.0398
KENYA,MINBIO,1,2032,4.5268
KENYA,MINBIO,1,2033,4.662
KENYA,MINBIO,1,2034,4.9326
KENYA,MINBIO,1,2035,4.9461
KENYA,MINBIO,1,2036,5.3474
KENYA,MINBIO,1,2037,5.7487
KENYA,MINBIO,1,2038,6.1499
KENYA,MINBIO,1,2039,6.5512
KENYA,MINBIO,1,2040,6.5512
KENYA,MINBIO,1,2041,7.3538
KENYA,MINBIO,1,2042,7.755
KENYA,MINBIO,1,2043,8.1563
KENYA,MINBIO,1,2044,8.5576
KENYA,MINBIO,1,2045,8.9589
KENYA,MINBIO,1,2046,9.3602
KENYA,MINBIO,1,2047,9.7614
KENYA,MINBIO,1,2048,10.1627
KENYA,MINBIO,1,2049,10.564
KENYA,MINBIO,1,2050,10.9653
KENYA,MINGEO,1,2019,70.0437
KENYA,MINGEO,1,2020,70.0437
KENYA,MINGEO,1,2021,70.0437
KENYA,MINGEO,1,2022,77.4191
KENYA,MINGEO,1,2023,80.5179
KENYA,MINGEO,1,2024,77.8618
KENYA,MINGEO,1,2025,88.3094
KENYA,MINGEO,1,2026,98.5669
KENYA,MINGEO,1,2027,101.1831
KENYA,MINGEO,1,2028,108.2663
KENYA,MINGEO,1,2029,124.1242
KENYA,MINGEO,1,2030,127.6564
KENYA,MINGEO,1,2031,138.9452
KENYA,MINGEO,1,2032,141.6014
KENYA,MINGEO,1,2033,144.2576
KENYA,MINGEO,1,2034,159.3094
KENYA,MINGEO,1,2035,162.851
KENYA,MINGEO,1,2036,178.7881
KENYA,MINGEO,1,2037,192.069
KENYA,MINGEO,1,2038,200.9584
KENYA,MINGEO,1,2039,223.3058
KENYA,MINGEO,1,2040,258.279
KENYA,MINGEO,1,2041,253.9405
KENYA,MINGEO,1,2042,261.0237
KENYA,MINGEO,1,2043,262.458
KENYA,MINGEO,1,2044,270.4266
KENYA,MINGEO,1,2045,265.2913
KENYA,MINGEO,1,2046,275.0307
KENYA,MINGEO,1,2047,278.2801
KENYA,MINGEO,1,2048,286.6913
KENYA,MINGEO,1,2049,299.9723
KENYA,MINGEO,1,2050,309.2689
KENYA,MINHYD,1,2019,12.0376
KENYA,MINHYD,1,2020,12.0376
KENYA,MINHYD,1,2021,12.0376
KENYA,MINHYD,1,2022,12.0376
KENYA,MINHYD,1,2023,12.1346
KENYA,MINHYD,1,2024,12.1678
