r,t,y,TotalTechnologyAnnualActivity
KENYA,MINSOL,2038,12.087
KENYA,MINSOL,2039,15.6572
KENYA,MINSOL,2040,20.5341
KENYA,MINSOL,2041,26.7005
KENYA,MINSOL,2042,35.5529
KENYA,MINSOL,2043,47.7266
KENYA,MINSOL,2044,56.3187
KENYA,MINSOL,2045,60.9724
KENYA,MINSOL,2046,61.0508
KENYA,MINSOL,2047,60.9662
KENYA,MINSOL,2048,60.8506
KENYA,MINSOL,2049,60.6928
KENYA,MINSOL,2050,60.4772
KENYA,MINWND,2019,5.4829
KENYA,MINWND,2020,5.4829
KENYA,MINWND,2021,6.9304
KENYA,MINWND,2022,6.9304
KENYA,MINWND,2023,6.9304
KENYA,MINWND,2024,6.9304
KENYA,MINWND,2025,7.0512
KENYA,MINWND,2026,7.8084
KENYA,MINWND,2027,7.97
KENYA,MINWND,2028,9.3821
KENYA,MINWND,2029,9.6456
KENYA,MINWND,2030,10.4405
KENYA,MINWND,2031,11.306
KENYA,MINWND,2032,11.8548
KENYA,MINWND,2033,12.9498
KENYA,MINWND,2034,13.8447
KENYA,MINWND,2035,14.7633
KENYA,MINWND,2036,16.2226
KENYA,MINWND,2037,18.0862
KENYA,MINWND,2038,16.9975
KENYA,MINWND,2039,18.3022
KENYA,MINWND,2040,22.183
KENYA,MINWND,2041,25.6911
KENYA,MINWND,2042,32.0196
KENYA,MINWND,2043,40.1009
KENYA,MINWND,2044,50.4209
KENYA,MINWND,2045,63.4785
KENYA,MINWND,2046,79.5503
KENYA,MINWND,2047,100.8443
KENYA,MINWND,2048,127.992
KENYA,MINWND,2049,162.6024
KENYA,MINWND,2050,206.2685
KENYA,PWRBIO001,2019,0.0315
KENYA,PWRBIO001,2020,0.0315
KENYA,PWRBIO001,2021,0.0315
KENYA,PWRBIO001,2022,0.0315
KENYA,PWRBIO001,2023,0.0536
KENYA,PWRBIO001,2024,0.0536
KENYA,PWRBIO001,2025,0.0536
KENYA,PWRBIO001,2026,0.2112
KENYA,PWRBIO001,2027,0.2112
KENYA,PWRBIO001,2028,0.3374
KENYA,PWRBIO001,2029,0.3374
KENYA,PWRBIO001,2030,1.0972
KENYA,PWRBIO001,2031,1.4125
KENYA,PWRBIO001,2032,1.5828
KENYA,PWRBIO001,2033,1.6301
KENYA,PWRBIO001,2034,1.7247
KENYA,PWRBIO001,2035,1.7294
KENYA,PWRBIO001,2036,1.8697
KENYA,PWRBIO001,2037,2.01
KENYA,PWRBIO001,2038,2.1503
KENYA,PWRBIO001,2039,2.2906
KENYA,PWRBIO001,2040,2.4309
KENYA,PWRBIO001,2041,2.5712
KENYA,PWRBIO001,2042,2.7116
KENYA,PWRBIO001,2043,2.8519
KENYA,PWRBIO001,2044,2.9922
KENYA,PWRBIO001,2045,3.1325
KENYA,PWRBIO001,2046,3.2728
KENYA,PWRBIO001,2047,3.4131
KENYA,PWRBIO001,2048,3.4131
KENYA,PWRBIO001,2049,2.3937
KENYA,PWRBIO001,2050,2.2166
KENYA,PWRDIST,2019,45.2992
KENYA,PWRDIST,2020,46.0963
KENYA,PWRDIST,2021,48.1497
KENYA,PWRDIST,2022,49.7134
KENYA,PWRDIST,2023,51.0728
KENYA,PWRDIST,2024,52.7433
KENYA,PWRDIST,2025,54.5992
KENYA,PWRDIST,2026,59.1765
KENYA,PWRDIST,2027,64.4035
KENYA,PWRDIST,2028,70.2212
KENYA,PWRDIST,2029,76.5111
KENYA,PWRDIST,2030,82.9551
KENYA,PWRDIST,2031,90.139
KENYA,PWRDIST,2032,98.1572
KENYA,PWRDIST,2033,106.7187
KENYA,PWRDIST,2034,116.1806
KENYA,PWRDIST,2035,126.4435
KENYA,PWRDIST,2036,137.7094
KENYA,PWRDIST,2037,150.3858
KENYA,PWRDIST,2038,164.2009
KENYA,PWRDIST,2039,179.2385
KENYA,PWRDIST,2040,195.6442
KENYA,PWRDIST,2041,213.5238
KENYA,PWRDIST,2042,231.2682
KENYA,PWRDIST,2043,250.123
KENYA,PWRDIST,2044,270.4645
