r,t,l,y,RateOfTotalActivity
KENYA,BESS_TECH,TS23,2025,1.1039
KENYA,BESS_TECH,TS23,2026,2.7221
KENYA,BESS_TECH,TS23,2027,1.5905
KENYA,BESS_TECH,TS23,2028,1.3623
KENYA,BESS_TECH,TS23,2029,2.7221
KENYA,BESS_TECH,TS23,2030,1.1268
KENYA,BESS_TECH,TS23,2031,2.1312
KENYA,BESS_TECH,TS23,2032,2.7221
KENYA,BESS_TECH,TS23,2033,2.7221
KENYA,BESS_TECH,TS23,2034,2.5174
KENYA,BESS_TECH,TS23,2044,1.9248
KENYA,BESS_TECH,TS23,2045,3.0683
KENYA,BESS_TECH,TS23,2046,6.5197
KENYA,BESS_TECH,TS23,2047,6.3972
KENYA,BESS_TECH,TS23,2048,17.5092
KENYA,BESS_TECH,TS23,2049,28.8832
KENYA,BESS_TECH,TS23,2050,30.6606
KENYA,BESS_TECH,TS24,2024,0.2048
KENYA,BESS_TECH,TS24,2025,2.7221
KENYA,BESS_TECH,TS24,2026,2.7221
KENYA,BESS_TECH,TS24,2027,2.7221
KENYA,BESS_TECH,TS24,2028,2.7221
KENYA,BESS_TECH,TS24,2029,2.7221
KENYA,BESS_TECH,TS24,2030,2.7221
KENYA,BESS_TECH,TS24,2031,2.7221
KENYA,BESS_TECH,TS24,2032,2.7221
KENYA,BESS_TECH,TS24,2033,2.7221
KENYA,BESS_TECH,TS24,2034,2.5174
KENYA,BESS_TECH,TS24,2044,1.9248
KENYA,BESS_TECH,TS24,2045,3.0683
KENYA,BESS_TECH,TS24,2046,7.4984
KENYA,BESS_TECH,TS24,2047,11.357
KENYA,BESS_TECH,TS24,2048,21.4741
KENYA,BESS_TECH,TS24,2049,33.1128
KENYA,BESS_TECH,TS24,2050,33.1128
KENYA,BESS_TECH,TS25,2026,0.8707
KENYA,BESS_TECH,TS25,2027,0.9207
KENYA,BESS_TECH,TS25,2028,1.1096
KENYA,BESS_TECH,TS25,2029,0.2214
KENYA,BESS_TECH,TS25,2030,1.7186
KENYA,BESS_TECH,TS25,2031,0.4702
KENYA,BESS_TECH,TS25,2034,2.5174
KENYA,BESS_TECH,TS25,2044,0.6412
KENYA,BESS_TECH,TS25,2045,0.1605
KENYA,BESS_TECH,TS25,2046,0.3512
KENYA,BESS_TECH,TS25,2047,3.6032
KENYA,BESS_TECH,TS25,2048,0.0297
KENYA,BESS_TECH,TS26,2024,0.2048
KENYA,BESS_TECH,TS26,2025,0.3813
KENYA,BESS_TECH,TS26,2026,2.7221
KENYA,BESS_TECH,TS26,2027,2.7221
KENYA,BESS_TECH,TS26,2028,2.7221
